column,dtype,n_rows,non_null,null,unique_non_null,all_missing,single_value_non_null,top_values_json
sample_id,object,363,363,0,363,False,False,"{""SAMPLE 1"": 1, ""SAMPLE 250"": 1, ""SAMPLE 248"": 1, ""SAMPLE 247"": 1, ""SAMPLE 246"": 1, ""SAMPLE 245"": 1, ""SAMPLE 244"": 1, ""SAMPLE 243"": 1, ""SAMPLE 242"": 1, ""SAMPLE 241"": 1}"
sample_number,int64,363,363,0,363,False,False,"{""1"": 1, ""250"": 1, ""248"": 1, ""247"": 1, ""246"": 1, ""245"": 1, ""244"": 1, ""243"": 1, ""242"": 1, ""241"": 1}"
H_raw,float64,363,363,0,363,False,False,"{""0.2161124"": 1, ""3.274695"": 1, ""2.3745713"": 1, ""-0.4193447"": 1, ""-7.3145165"": 1, ""-1.3832355"": 1, ""-0.52343875"": 1, ""-5.936053"": 1, ""6.01559"": 1, ""0.8550073"": 1}"
S_raw,float64,363,363,0,363,False,False,"{""-2.704293280309974"": 1, ""-2.700026709693102"": 1, ""-2.702117839015033"": 1, ""-2.6901861249687773"": 1, ""-2.666873459242576"": 1, ""-2.694034822668404"": 1, ""-2.687343148879102"": 1, ""-2.6929766713383265"": 1, ""-2.657698153449753"": 1, ""-2.672619396937753"": 1}"
M_raw,float64,363,363,0,363,False,False,"{""3.2643025"": 1, ""2.3530993"": 1, ""-1.0438691"": 1, ""4.1294518"": 1, ""6.985296"": 1, ""2.799311"": 1, ""1.5523952"": 1, ""-9.906348"": 1, ""-0.18461302"": 1, ""8.259064"": 1}"
R_raw,float64,363,363,0,363,False,False,"{""-9.757675"": 1, ""-11.246781"": 1, ""-10.927939"": 1, ""-9.850423"": 1, ""-12.96847"": 1, ""-10.741328"": 1, ""-9.520316"": 1, ""-14.667758"": 1, ""-11.828694"": 1, ""-12.0714035"": 1}"
mean_neighbor_distance,float64,363,363,0,363,False,False,"{""3.839876002648136"": 1, ""4.417896082088792"": 1, ""5.568047133426711"": 1, ""3.823760681032264"": 1, ""3.0600918072069017"": 1, ""4.145012746373302"": 1, ""3.8148641772680256"": 1, ""4.914498292040455"": 1, ""3.758493582963963"": 1, ""3.557092122515337"": 1}"
H,float64,363,363,0,363,False,False,"{""0.10263444"": 1, ""0.58822066"": 1, ""0.4453154"": 1, ""0.0017480897"": 1, ""-1.0929421"": 1, ""-0.15128101"": 1, ""-0.014778077"": 1, ""-0.8740947"": 1, ""1.0233704"": 1, ""0.20406657"": 1}"
S,float64,363,363,0,363,False,False,"{""-1.2858612312041438"": 1, ""-0.9388394694197798"": 1, ""-1.108921590771689"": 1, ""-0.1384549557968869"": 1, ""1.7576820260224726"": 1, ""-0.4514890002864132"": 1, ""0.0927786648183042"": 1, ""-0.3654242021682795"": 1, ""2.503956040225866"": 1, ""1.2903358594787844"": 1}"
M,float64,363,363,0,363,False,False,"{""0.35487196"": 1, ""0.16598296"": 1, ""-0.53819585"": 1, ""0.5342141"": 1, ""1.1262199"": 1, ""0.25848094"": 1, ""0.0"": 1, ""-2.3753545"": 1, ""-0.3600753"": 1, ""1.3902673"": 1}"
R,float64,363,363,0,363,False,False,"{""1.0967782"": 1, ""0.28406212"": 1, ""0.45807788"": 1, ""1.0461589"": 1, ""-0.65559125"": 1, ""0.5599255"": 1, ""1.2263227"": 1, ""-1.5830193"": 1, ""-0.03353107"": 1, ""-0.16599551"": 1}"
phi,float64,363,363,0,363,False,False,"{""1.7299795913739424"": 1, ""1.155709613443424"": 1, ""1.3883454153062404"": 1, ""1.1827958245745174"": 1, ""2.445841309979394"": 1, ""0.7791387651375391"": 1, ""1.2299160706150678"": 1, ""3.0076295671250306"": 1, ""2.729077020740411"": 1, ""1.914943182632614"": 1}"
sample_number_state,int64,363,363,0,363,False,False,"{""1"": 1, ""250"": 1, ""248"": 1, ""247"": 1, ""246"": 1, ""245"": 1, ""244"": 1, ""243"": 1, ""242"": 1, ""241"": 1}"
H_state,float64,363,363,0,363,False,False,"{""0.10263444"": 1, ""0.58822066"": 1, ""0.4453154"": 1, ""0.0017480897"": 1, ""-1.0929421"": 1, ""-0.15128101"": 1, ""-0.014778077"": 1, ""-0.8740947"": 1, ""1.0233704"": 1, ""0.20406657"": 1}"
R_state,float64,363,363,0,363,False,False,"{""1.0967782"": 1, ""0.28406212"": 1, ""0.45807788"": 1, ""1.0461589"": 1, ""-0.65559125"": 1, ""0.5599255"": 1, ""1.2263227"": 1, ""-1.5830193"": 1, ""-0.03353107"": 1, ""-0.16599551"": 1}"
S_state,float64,363,363,0,363,False,False,"{""-1.2858612312041438"": 1, ""-0.9388394694197798"": 1, ""-1.108921590771689"": 1, ""-0.1384549557968869"": 1, ""1.7576820260224726"": 1, ""-0.4514890002864132"": 1, ""0.0927786648183042"": 1, ""-0.3654242021682795"": 1, ""2.503956040225866"": 1, ""1.2903358594787844"": 1}"
M_state,float64,363,363,0,363,False,False,"{""0.35487196"": 1, ""0.16598296"": 1, ""-0.53819585"": 1, ""0.5342141"": 1, ""1.1262199"": 1, ""0.25848094"": 1, ""0.0"": 1, ""-2.3753545"": 1, ""-0.3600753"": 1, ""1.3902673"": 1}"
phi_state,float64,363,363,0,363,False,False,"{""1.7299795913739424"": 1, ""1.155709613443424"": 1, ""1.3883454153062404"": 1, ""1.1827958245745174"": 1, ""2.445841309979394"": 1, ""0.7791387651375391"": 1, ""1.2299160706150678"": 1, ""3.0076295671250306"": 1, ""2.729077020740411"": 1, ""1.914943182632614"": 1}"
H_raw_state,float64,363,363,0,363,False,False,"{""0.2161124"": 1, ""3.274695"": 1, ""2.3745713"": 1, ""-0.4193447"": 1, ""-7.3145165"": 1, ""-1.3832355"": 1, ""-0.52343875"": 1, ""-5.936053"": 1, ""6.01559"": 1, ""0.8550073"": 1}"
R_raw_state,float64,363,363,0,363,False,False,"{""-9.757675"": 1, ""-11.246781"": 1, ""-10.927939"": 1, ""-9.850423"": 1, ""-12.96847"": 1, ""-10.741328"": 1, ""-9.520316"": 1, ""-14.667758"": 1, ""-11.828694"": 1, ""-12.0714035"": 1}"
S_raw_state,float64,363,363,0,363,False,False,"{""-2.704293280309974"": 1, ""-2.700026709693102"": 1, ""-2.702117839015033"": 1, ""-2.6901861249687773"": 1, ""-2.666873459242576"": 1, ""-2.694034822668404"": 1, ""-2.687343148879102"": 1, ""-2.6929766713383265"": 1, ""-2.657698153449753"": 1, ""-2.672619396937753"": 1}"
M_raw_state,float64,363,363,0,363,False,False,"{""3.2643025"": 1, ""2.3530993"": 1, ""-1.0438691"": 1, ""4.1294518"": 1, ""6.985296"": 1, ""2.799311"": 1, ""1.5523952"": 1, ""-9.906348"": 1, ""-0.18461302"": 1, ""8.259064"": 1}"
mean_neighbor_distance_state,float64,363,363,0,363,False,False,"{""3.839876002648136"": 1, ""4.417896082088792"": 1, ""5.568047133426711"": 1, ""3.823760681032264"": 1, ""3.0600918072069017"": 1, ""4.145012746373302"": 1, ""3.8148641772680256"": 1, ""4.914498292040455"": 1, ""3.758493582963963"": 1, ""3.557092122515337"": 1}"
phi_rank_desc,float64,363,363,0,363,False,False,"{""190.0"": 1, ""324.0"": 1, ""265.0"": 1, ""318.0"": 1, ""104.0"": 1, ""360.0"": 1, ""304.0"": 1, ""74.0"": 1, ""88.0"": 1, ""167.0"": 1}"
